StockCode,Description,TotalQuantitySold,AvgUnitPrice,TransactionCount,TotalRevenue,Cluster(KMeans)
20713,JUMBO BAG OWLS,10223,2.0171662763466043,417,20621.490843091335,High Volume - Low Price
20716,PARTY FOOD SHOPPER BAG,314,1.2445714285714287,34,390.7954285714286,Low Volume - Low Price
20717,STRAWBERRY SHOPPER BAG,2026,1.2758227848101267,232,2584.8169620253166,Low Volume - Low Price
20718,RED RETROSPOT SHOPPER BAG,4240,1.264746192893401,388,5362.52385786802,High Volume - Low Price
20719,WOODLAND CHARLOTTE BAG,9125,0.8448375451263537,539,7709.142599277977,High Volume - Low Price
20723,STRAWBERRY CHARLOTTE BAG,6772,0.85888671875,504,5816.380859375,High Volume - Low Price
20724,RED RETROSPOT CHARLOTTE BAG,12586,0.8483050847457627,755,10676.76779661017,High Volume - Low Price
20725,LUNCH BAG RED RETROSPOT,17345,1.6567696835908754,1330,28736.670161883732,High Volume - Low Price
20726,LUNCH BAG WOODLAND,9033,1.658594657375145,839,14982.085540069686,High Volume - Low Price
20727,LUNCH BAG  BLACK SKULL.,11173,1.6430728241563055,1073,18358.0526642984,High Volume - Low Price
20728,LUNCH BAG CARS BLUE,10606,1.6559288537549406,989,17562.7814229249,High Volume - Low Price
20731,POSY CANDY BAG,74,1.25,8,92.5,Low Volume - Low Price
20733,GOLD MINI TAPE MEASURE ,618,0.8367999999999999,47,517.1424,Low Volume - Low Price
20735,BLACK MINI TAPE MEASURE ,158,0.8456666666666667,30,133.61533333333333,Low Volume - Low Price
20748,KENSINGTON COFFEE SET,53,12.75,30,675.75,Low Volume - Low Price
20749,ASSORTED COLOUR MINI CASES,1711,7.793529411764706,371,13334.728823529413,Low Volume - Low Price
20750,RED RETROSPOT MINI CASES,1706,7.7516172506738545,369,13224.259029649596,Low Volume - Low Price
20751,FUNKY WASHING UP GLOVES ASSORTED,972,2.095858585858586,172,2037.1745454545455,Low Volume - Low Price
20752,BLUE POLKADOT WASHING UP GLOVES,365,2.1,117,766.5,Low Volume - Low Price
20754,RETROSPOT RED WASHING UP GLOVES,1355,2.089918032786885,240,2831.8389344262296,Low Volume - Low Price
20755,BLUE PAISLEY POCKET BOOK,292,0.85,50,248.2,Low Volume - Low Price
20756,GREEN FERN POCKET BOOK,63,0.85,22,53.55,Low Volume - Low Price
20757,RED DAISY POCKET BOOK ,164,0.8736363636363635,30,143.2763636363636,Low Volume - Low Price
20758,ABSTRACT CIRCLES POCKET BOOK,161,0.85,41,136.85,Low Volume - Low Price
20759,CHRYSANTHEMUM POCKET BOOK ,64,0.85,20,54.4,Low Volume - Low Price
20760,GARDEN PATH POCKET BOOK,69,0.85,21,58.65,Low Volume - Low Price
20761,BLUE PAISLEY SKETCHBOOK,110,3.8174545454545457,52,419.92,Low Volume - Low Price
20762,GREEN FERN SKETCHBOOK ,101,3.8227450980392157,51,386.0972549019608,Low Volume - Low Price
20763,DAISY SKETCHBOOK ,71,3.6984,25,262.58639999999997,Low Volume - Low Price
20764,ABSTRACT CIRCLES SKETCHBOOK ,128,3.9295161290322578,60,502.978064516129,Low Volume - Low Price
20765,CHRYSANTHEMUM SKETCHBOOK ,96,3.96,51,380.15999999999997,Low Volume - Low Price
20766,GARDEN PATH SKETCHBOOK,113,3.8824,47,438.7112,Low Volume - Low Price
20767,BLUE PAISLEY JOURNAL ,217,2.6216393442622947,58,568.8957377049179,Low Volume - Low Price
20768,GREEN FERN JOURNAL ,131,2.6029729729729727,36,340.9894594594594,Low Volume - Low Price
20769,DAISY JOURNAL ,66,2.6426923076923075,26,174.41769230769228,Low Volume - Low Price
20770,ABSTRACT CIRCLE JOURNAL ,108,2.5344827586206895,28,273.7241379310345,Low Volume - Low Price
20771,CHRYSANTHEMUM  JOURNAL,71,2.636071428571429,27,187.16107142857146,Low Volume - Low Price
20772,GARDEN PATH JOURNAL,217,2.591702127659574,47,562.3993617021276,Low Volume - Low Price
20773,BLUE PAISLEY NOTEBOOK,56,1.6499999999999997,23,92.39999999999998,Low Volume - Low Price
20774,GREEN FERN NOTEBOOK,52,1.65,22,85.8,Low Volume - Low Price
20775,DAISY NOTEBOOK ,64,1.65,20,105.6,Low Volume - Low Price
20777,CHRYSANTHEMUM NOTEBOOK,95,1.65,36,156.75,Low Volume - Low Price
20778,GARDEN PATH NOTEBOOK ,15,1.65,8,24.75,Low Volume - Low Price
20780,BLACK EAR MUFF HEADPHONES,37,5.724736842105264,17,211.81526315789475,Low Volume - Low Price
20781,GOLD EAR MUFF HEADPHONES,31,4.9,21,151.9,Low Volume - Low Price
20782,CAMOUFLAGE EAR MUFF HEADPHONES,40,5.587777777777777,17,223.5111111111111,Low Volume - Low Price
20785,FUSCHIA RETRO BAR STOOL,14,39.15,5,548.1,Low Volume - Low Price
20793,BLUE TILED TRAY,3,6.75,5,20.25,Low Volume - Low Price
20794,BLUE  TILE HOOK,76,2.525,17,191.9,Low Volume - Low Price
20795,LARGE BLUE PROVENCAL CERAMIC BALL,38,2.1,10,79.8,Low Volume - Low Price
20796,SMALL BLUE PROVENCAL CERAMIC BALL,61,1.65,8,100.64999999999999,Low Volume - Low Price
20798,CLEAR MILKSHAKE GLASS,32,2.025,6,64.8,Low Volume - Low Price
20801,LARGE PINK GLASS SUNDAE DISH,816,0.9338596491228071,56,762.0294736842105,Low Volume - Low Price
20802,SMALL GLASS SUNDAE DISH CLEAR,609,1.4497826086956522,46,882.9176086956522,Low Volume - Low Price
20803,SMALL PINK GLASS SUNDAE DISH,849,0.51,33,432.99,Low Volume - Low Price
20816,GOLD FLOWER CUSHION COVER ,8,1.95,2,15.6,Low Volume - Low Price
20818,GOLD TEDDY BEAR,12,2.5,2,30.0,Low Volume - Low Price
20819,SILVER TEDDY BEAR,48,3.981875,16,191.13,Low Volume - Low Price
20820,SILVER LOOKING MIRROR,5,4.95,2,24.75,Low Volume - Low Price
20821,GOLDIE LOOKING MIRROR,4,4.95,7,19.8,Low Volume - Low Price
20823,GOLD WINE GOBLET,164,0.79,7,129.56,Low Volume - Low Price
20826,SILVER APERITIF GLASS,276,0.8225,8,227.01,Low Volume - Low Price
20827,GOLD APERITIF GLASS,88,0.39,2,34.32,Low Volume - Low Price
20828,GLITTER BUTTERFLY CLIPS,1012,2.540322580645161,177,2570.806451612903,Low Volume - Low Price
20829,GLITTER HANGING BUTTERFLY STRING,1145,2.1462857142857144,169,2457.497142857143,Low Volume - Low Price
20830,SILVER PHOTO FRAME,74,2.1,21,155.4,Low Volume - Low Price
20831,GOLD PHOTO FRAME,169,1.8645833333333333,24,315.1145833333333,Low Volume - Low Price
20832,RED FLOCK LOVE HEART PHOTO FRAME,1033,0.5793103448275863,56,598.4275862068966,Low Volume - Low Price
20835,FRENCH LATTICE CUSHION COVER ,66,0.83,7,54.779999999999994,Low Volume - Low Price
20836,FRENCH PAISLEY CUSHION COVER,158,0.83,18,131.14,Low Volume - Low Price
20837,FRENCH FLORAL CUSHION COVER ,141,0.9713333333333334,15,136.958,Low Volume - Low Price
20838,FRENCH LATTICE CUSHION COVER ,318,0.9217647058823529,34,293.12117647058824,Low Volume - Low Price
20839,FRENCH PAISLEY CUSHION COVER ,452,0.9855102040816326,49,445.4506122448979,Low Volume - Low Price
20840,FRENCH FLORAL CUSHION COVER ,452,0.9584444444444443,44,433.21688888888883,Low Volume - Low Price
20845,ZINC HEART LATTICE 2 WALL PLANTER,19,6.35,11,120.64999999999999,Low Volume - Low Price
20846,ZINC HEART LATTICE T-LIGHT HOLDER,647,1.26,62,815.22,Low Volume - Low Price
20847,ZINC HEART LATTICE CHARGER LARGE,46,3.75,14,172.5,Low Volume - Low Price
20848,ZINC HEART LATTICE CHARGER SMALL,21,2.95,8,61.95,Low Volume - Low Price
20851,ZINC HEART LATTICE TRAY OVAL ,9,5.95,7,53.550000000000004,Low Volume - Low Price
20854,BLUE PATCH PURSE PINK HEART,152,1.6394736842105262,18,249.2,Low Volume - Low Price
20856,DENIM PATCH PURSE PINK BUTTERFLY,130,1.65,28,214.5,Low Volume - Low Price
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,17,1.65,9,28.049999999999997,Low Volume - Low Price
20861,GOLD COSMETIC BAG PINK STAR,2,2.1,2,4.2,Low Volume - Low Price
20866,BLUE ROSE FABRIC MIRROR,289,1.2974358974358975,38,374.9589743589744,Low Volume - Low Price
20867,PINK ROSE FABRIC MIRROR,187,1.2424,25,232.3288,Low Volume - Low Price
20868,SILVER FABRIC MIRROR,381,0.567741935483871,31,216.30967741935484,Low Volume - Low Price
20869,GOLD FABRIC MIRROR,139,0.39,17,54.21,Low Volume - Low Price
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,25,1.25,7,31.25,Low Volume - Low Price
20886,BOX OF 9 PEBBLE CANDLES,447,1.9462499999999998,78,869.9737499999999,Low Volume - Low Price
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,1,12.75,1,12.75,Low Volume - Low Price
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,223,2.4642857142857144,20,549.5357142857143,Low Volume - Low Price
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,25,2.95,9,73.75,Low Volume - Low Price
20897,VINTAGE NOTEBOOK PARIS DAYS,73,2.91,10,212.43,Low Volume - Low Price
20898,VINTAGE NOTEBOOK TRAVELOGUE,19,2.9500000000000006,5,56.05000000000001,Low Volume - Low Price
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,2,6.35,3,12.7,Low Volume - Low Price
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,33,6.216666666666666,6,205.14999999999998,Low Volume - Low Price
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,20,6.35,10,127.0,Low Volume - Low Price
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3,2.95,2,8.850000000000001,Low Volume - Low Price
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8,6.349999999999999,3,50.79999999999999,Low Volume - Low Price
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6063,2.949951100244499,798,17885.553520782396,High Volume - Low Price
20931,BLUE POT PLANT CANDLE ,249,3.1064102564102565,39,773.4961538461539,Low Volume - Low Price
20932,PINK POT PLANT CANDLE,179,3.004166666666667,24,537.7458333333334,Low Volume - Low Price
20933,YELLOW POT PLANT CANDLE,23,3.127777777777778,9,71.9388888888889,Low Volume - Low Price
20934,SET/3 POT PLANT CANDLES,40,5.429166666666667,24,217.16666666666669,Low Volume - Low Price
20935,ROUND CACTUS CANDLE,6,2.95,4,17.700000000000003,Low Volume - Low Price
20936,FORKED CACTUS CANDLE,91,3.0825925925925928,27,280.51592592592596,Low Volume - Low Price
20941,FROG CANDLE,59,1.25,18,73.75,Low Volume - Low Price
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,725,1.2884126984126985,61,934.0992063492064,Low Volume - Low Price
20957,PORCELAIN HANGING BELL SMALL,-1,1.45,1,-1.45,Low Volume - Low Price
20961,STRAWBERRY BATH SPONGE ,979,1.3146564885496184,128,1287.0487022900763,Low Volume - Low Price
20963,APPLE BATH SPONGE,1102,1.326825396825397,122,1462.1615873015874,Low Volume - Low Price
